Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Data_value_unit,Data_value_type,LocationID,Geolocation
2011,GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8423,85.3,84.2,86.4,%,Age-adjusted Prevalence,13,"(32.839681093, -83.627580346)"
2011,GU,Guam,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,174,7.6,6.2,9.1,%,Age-adjusted Prevalence,66,"(13.444304, 144.793731)"
2011,GU,Guam,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1695,92.4,90.9,93.8,%,Age-adjusted Prevalence,66,"(13.444304, 144.793731)"
2011,HI,Hawaii,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,907,10.5,9.4,11.7,%,Age-adjusted Prevalence,15,"(21.304850435, -157.857749403)"
2011,HI,Hawaii,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6664,89.5,88.3,90.6,%,Age-adjusted Prevalence,15,"(21.304850435, -157.857749403)"
2011,ID,Idaho,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1253,19.4,17.9,21.0,%,Age-adjusted Prevalence,16,"(43.682630005, -114.363730042)"
2011,ID,Idaho,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4798,80.6,79.0,82.1,%,Age-adjusted Prevalence,16,"(43.682630005, -114.363730042)"
2011,IL,Illinois,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,900,16.1,14.6,17.6,%,Age-adjusted Prevalence,17,"(40.485010283, -88.997710178)"
2011,IL,Illinois,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4559,83.9,82.4,85.4,%,Age-adjusted Prevalence,17,"(40.485010283, -88.997710178)"
2011,IN,Indiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1717,20.7,19.4,21.9,%,Age-adjusted Prevalence,18,"(39.766910452, -86.149960194)"
2011,IN,Indiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6733,79.3,78.1,80.6,%,Age-adjusted Prevalence,18,"(39.766910452, -86.149960194)"
2011,IA,Iowa,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1074,15.4,14.3,16.6,%,Age-adjusted Prevalence,19,"(42.469400913, -93.816490556)"
2011,IA,Iowa,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6248,84.6,83.4,85.7,%,Age-adjusted Prevalence,19,"(42.469400913, -93.816490556)"
2011,KS,Kansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,3360,15.8,15.1,16.4,%,Age-adjusted Prevalence,20,"(38.3477403, -98.200781227)"
2011,KS,Kansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,17270,84.2,83.6,84.9,%,Age-adjusted Prevalence,20,"(38.3477403, -98.200781227)"
2011,KY,Kentucky,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2213,19.5,18.2,20.7,%,Age-adjusted Prevalence,21,"(37.645970271, -84.774971048)"
2011,KY,Kentucky,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8616,80.5,79.3,81.8,%,Age-adjusted Prevalence,21,"(37.645970271, -84.774971048)"
2011,LA,Louisiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1982,17.9,16.7,19.0,%,Age-adjusted Prevalence,22,"(31.312660644, -92.445680071)"
2011,LA,Louisiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8911,82.1,81.0,83.3,%,Age-adjusted Prevalence,22,"(31.312660644, -92.445680071)"
2011,ME,Maine,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,3133,24.7,23.5,25.8,%,Age-adjusted Prevalence,23,"(45.254228894001, -68.985031336)"
2011,ME,Maine,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,10046,75.3,74.2,76.5,%,Age-adjusted Prevalence,23,"(45.254228894001, -68.985031336)"
2011,MD,Maryland,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1401,13.3,12.3,14.4,%,Age-adjusted Prevalence,24,"(39.290580964, -76.609260111)"
2011,MD,Maryland,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8682,86.7,85.6,87.7,%,Age-adjusted Prevalence,24,"(39.290580964, -76.609260111)"
2011,MA,Massachusetts,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,3914,16.7,15.8,17.6,%,Age-adjusted Prevalence,25,"(42.27687047, -72.082690675)"
2011,MA,Massachusetts,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,18287,83.3,82.4,84.2,%,Age-adjusted Prevalence,25,"(42.27687047, -72.082690675)"
2011,MI,Michigan,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2262,20.6,19.4,21.8,%,Age-adjusted Prevalence,26,"(44.661319543001, -84.71439027)"
2011,MI,Michigan,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8727,79.4,78.2,80.6,%,Age-adjusted Prevalence,26,"(44.661319543001, -84.71439027)"
2011,MN,Minnesota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2452,15.1,14.2,16.0,%,Age-adjusted Prevalence,27,"(46.355648736, -94.794200503)"
2011,MN,Minnesota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,12888,84.9,84.0,85.8,%,Age-adjusted Prevalence,27,"(46.355648736, -94.794200503)"
2011,MS,Mississippi,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1755,18.7,17.5,19.9,%,Age-adjusted Prevalence,28,"(32.745510099, -89.538030825)"
2011,MS,Mississippi,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,7086,81.3,80.1,82.5,%,Age-adjusted Prevalence,28,"(32.745510099, -89.538030825)"
2011,MO,Missouri,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1289,20.2,18.7,21.7,%,Age-adjusted Prevalence,29,"(38.635790776, -92.566300053)"
2011,MO,Missouri,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5076,79.8,78.3,81.3,%,Age-adjusted Prevalence,29,"(38.635790776, -92.566300053)"
2011,MT,Montana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2125,20.4,19.1,21.7,%,Age-adjusted Prevalence,30,"(47.066528972, -109.424420645)"
2011,MT,Montana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8100,79.6,78.3,80.9,%,Age-adjusted Prevalence,30,"(47.066528972, -109.424420645)"
2011,NE,Nebraska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,4327,16.7,16.0,17.4,%,Age-adjusted Prevalence,31,"(41.641040988001, -99.365720623)"
2011,NE,Nebraska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,21006,83.3,82.6,84.0,%,Age-adjusted Prevalence,31,"(41.641040988001, -99.365720623)"
2011,NV,Nevada,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,999,15.5,14.0,17.1,%,Age-adjusted Prevalence,32,"(39.49324039, -117.071840564)"
2011,NV,Nevada,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4464,84.5,82.9,86.0,%,Age-adjusted Prevalence,32,"(39.49324039, -117.071840564)"
2011,NH,New Hampshire,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1381,22.4,20.7,24.0,%,Age-adjusted Prevalence,33,"(43.655950113, -71.50036092)"
2011,NH,New Hampshire,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5352,77.6,76.0,79.3,%,Age-adjusted Prevalence,33,"(43.655950113, -71.50036092)"
2011,NJ,New Jersey,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1889,10.9,10.1,11.7,%,Age-adjusted Prevalence,34,"(40.130570048, -74.273691288)"
2011,NJ,New Jersey,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,13420,89.1,88.3,89.9,%,Age-adjusted Prevalence,34,"(40.130570048, -74.273691288)"
2011,NM,New Mexico,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2006,20.3,19.1,21.4,%,Age-adjusted Prevalence,35,"(34.520880952, -106.240580985)"
2011,NM,New Mexico,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,7385,79.7,78.6,80.9,%,Age-adjusted Prevalence,35,"(34.520880952, -106.240580985)"
2011,NY,New York,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1285,15.8,14.6,16.9,%,Age-adjusted Prevalence,36,"(42.827001032, -75.543970427)"
2011,NY,New York,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6395,84.2,83.1,85.4,%,Age-adjusted Prevalence,36,"(42.827001032, -75.543970427)"
2011,NC,North Carolina,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2151,17.2,16.1,18.3,%,Age-adjusted Prevalence,37,"(35.466220975, -79.159250463)"
2011,NC,North Carolina,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,9335,82.8,81.7,83.9,%,Age-adjusted Prevalence,37,"(35.466220975, -79.159250463)"
2011,ND,North Dakota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,864,17.5,16.1,19.0,%,Age-adjusted Prevalence,38,"(47.475319779, -100.118421049)"
2011,ND,North Dakota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4420,82.5,81.0,83.9,%,Age-adjusted Prevalence,38,"(47.475319779, -100.118421049)"
2011,OH,Ohio,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1768,17.6,16.5,18.8,%,Age-adjusted Prevalence,39,"(40.060210141, -82.404260056)"
2011,OH,Ohio,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8132,82.4,81.2,83.5,%,Age-adjusted Prevalence,39,"(40.060210141, -82.404260056)"
2011,OK,Oklahoma,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2052,21.7,20.4,22.9,%,Age-adjusted Prevalence,40,"(35.472031356, -97.521070214)"
2011,OK,Oklahoma,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6438,78.3,77.1,79.6,%,Age-adjusted Prevalence,40,"(35.472031356, -97.521070214)"
2011,OR,Oregon,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1546,23.6,22.1,25.0,%,Age-adjusted Prevalence,41,"(44.567449424, -120.155031326)"
2011,OR,Oregon,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4658,76.4,75.0,77.9,%,Age-adjusted Prevalence,41,"(44.567449424, -120.155031326)"
2011,PA,Pennsylvania,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2239,19.4,18.3,20.5,%,Age-adjusted Prevalence,42,"(40.793730152, -77.860700294)"
2011,PA,Pennsylvania,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,9223,80.6,79.5,81.7,%,Age-adjusted Prevalence,42,"(40.793730152, -77.860700294)"
2011,PR,Puerto Rico,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1138,16.7,15.6,17.8,%,Age-adjusted Prevalence,72,"(18.220833, -66.590149)"
2011,PR,Puerto Rico,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5463,83.3,82.2,84.4,%,Age-adjusted Prevalence,72,"(18.220833, -66.590149)"
2011,RI,Rhode Island,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1438,22.0,20.5,23.5,%,Age-adjusted Prevalence,44,"(41.708280193, -71.522470314)"
2011,RI,Rhode Island,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5062,78.0,76.5,79.5,%,Age-adjusted Prevalence,44,"(41.708280193, -71.522470314)"
2011,SC,South Carolina,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2004,15.1,14.1,16.1,%,Age-adjusted Prevalence,45,"(33.998821303, -81.045371207)"
2011,SC,South Carolina,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,10860,84.9,83.9,85.9,%,Age-adjusted Prevalence,45,"(33.998821303, -81.045371207)"
2011,SD,South Dakota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1320,16.4,14.8,18.1,%,Age-adjusted Prevalence,46,"(44.353130053, -100.373530637)"
2011,SD,South Dakota,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6912,83.6,81.9,85.2,%,Age-adjusted Prevalence,46,"(44.353130053, -100.373530637)"
2011,TN,Tennessee,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1130,18.9,16.6,21.2,%,Age-adjusted Prevalence,47,"(35.68094058, -85.774490914)"
2011,TN,Tennessee,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4758,81.1,78.8,83.4,%,Age-adjusted Prevalence,47,"(35.68094058, -85.774490914)"
2011,TX,Texas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2712,16.4,15.4,17.5,%,Age-adjusted Prevalence,48,"(31.827240407, -99.426770206)"
2011,TX,Texas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,12182,83.6,82.5,84.6,%,Age-adjusted Prevalence,48,"(31.827240407, -99.426770206)"
2011,UT,Utah,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2781,21.9,20.9,22.8,%,Age-adjusted Prevalence,49,"(39.360700171, -111.587130635)"
2011,UT,Utah,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,9832,78.1,77.2,79.1,%,Age-adjusted Prevalence,49,"(39.360700171, -111.587130635)"
2011,VT,Vermont,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1606,23.0,21.5,24.5,%,Age-adjusted Prevalence,50,"(43.625381239, -72.517640791)"
2011,VT,Vermont,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5456,77.0,75.5,78.5,%,Age-adjusted Prevalence,50,"(43.625381239, -72.517640791)"
2011,VA,Virginia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,976,13.9,12.7,15.1,%,Age-adjusted Prevalence,51,"(37.542680674, -78.457890463)"
2011,VA,Virginia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5604,86.1,84.9,87.3,%,Age-adjusted Prevalence,51,"(37.542680674, -78.457890463)"
2011,WA,Washington,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2900,19.5,18.4,20.6,%,Age-adjusted Prevalence,53,"(47.522278629, -120.47001079)"
2011,WA,Washington,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,11784,80.5,79.4,81.6,%,Age-adjusted Prevalence,53,"(47.522278629, -120.47001079)"
2011,WV,West Virginia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1084,20.1,18.7,21.6,%,Age-adjusted Prevalence,54,"(38.665510202, -80.712640135)"
2011,WV,West Virginia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4182,79.9,78.4,81.3,%,Age-adjusted Prevalence,54,"(38.665510202, -80.712640135)"
2011,WI,Wisconsin,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,817,14.6,13.1,16.2,%,Age-adjusted Prevalence,55,"(44.393191174, -89.816370742)"
2011,WI,Wisconsin,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4467,85.4,83.8,86.9,%,Age-adjusted Prevalence,55,"(44.393191174, -89.816370742)"
2011,WY,Wyoming,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1306,18.9,17.5,20.3,%,Age-adjusted Prevalence,56,"(43.235541343, -108.109830353)"
2011,WY,Wyoming,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5534,81.1,79.7,82.5,%,Age-adjusted Prevalence,56,"(43.235541343, -108.109830353)"
2012,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2088,21.6,20.3,22.9,%,Age-adjusted Prevalence,1,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6895,78.4,77.1,79.7,%,Age-adjusted Prevalence,1,"(32.840571122, -86.631860762)"
2012,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,754,16.6,15.0,18.2,%,Age-adjusted Prevalence,2,"(64.845079957001, -147.722059036)"
2012,AK,Alaska,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3559,83.4,81.8,85.0,%,Age-adjusted Prevalence,2,"(64.845079957001, -147.722059036)"
2012,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1327,18.8,17.2,20.3,%,Age-adjusted Prevalence,4,"(34.86597028, -111.763811277)"
2012,AZ,Arizona,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5939,81.2,79.7,82.8,%,Age-adjusted Prevalence,4,"(34.86597028, -111.763811277)"
2012,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1131,22.2,20.5,23.8,%,Age-adjusted Prevalence,5,"(34.748650124, -92.274490743)"
2012,AR,Arkansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4026,77.8,76.2,79.5,%,Age-adjusted Prevalence,5,"(34.748650124, -92.274490743)"
2012,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1988,11.5,10.7,12.2,%,Age-adjusted Prevalence,6,"(37.638640123, -120.999999538)"
2012,CA,California,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,12570,88.5,87.8,89.3,%,Age-adjusted Prevalence,6,"(37.638640123, -120.999999538)"
2012,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2105,17.1,16.2,18.1,%,Age-adjusted Prevalence,8,"(38.843840757, -106.133610921)"
2012,CO,Colorado,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,10110,82.9,81.9,83.8,%,Age-adjusted Prevalence,8,"(38.843840757, -106.133610921)"
2012,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1519,16.6,15.4,17.8,%,Age-adjusted Prevalence,9,"(41.56266102, -72.649840952)"
2012,CT,Connecticut,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,7219,83.4,82.2,84.6,%,Age-adjusted Prevalence,9,"(41.56266102, -72.649840952)"
2012,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,799,14.6,13.2,16.0,%,Age-adjusted Prevalence,10,"(39.008830667, -75.577741168)"
2012,DE,Delaware,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4366,85.4,84.0,86.8,%,Age-adjusted Prevalence,10,"(39.008830667, -75.577741168)"
2012,DC,District of Columbia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,601,16.3,14.4,18.2,%,Age-adjusted Prevalence,11,"(38.890371385, -77.031961127)"
2012,DC,District of Columbia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,3201,83.7,81.8,85.6,%,Age-adjusted Prevalence,11,"(38.890371385, -77.031961127)"
2012,FL,Florida,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1352,17.0,15.5,18.5,%,Age-adjusted Prevalence,12,"(28.932040377, -81.928960539)"
2012,FL,Florida,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6223,83.0,81.5,84.5,%,Age-adjusted Prevalence,12,"(28.932040377, -81.928960539)"
2012,GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1080,16.4,15.1,17.7,%,Age-adjusted Prevalence,13,"(32.839681093, -83.627580346)"
2012,GA,Georgia,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4989,83.6,82.3,84.9,%,Age-adjusted Prevalence,13,"(32.839681093, -83.627580346)"
2012,GU,Guam,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,185,9.1,7.4,10.9,%,Age-adjusted Prevalence,66,"(13.444304, 144.793731)"
2012,GU,Guam,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,1823,90.9,89.1,92.6,%,Age-adjusted Prevalence,66,"(13.444304, 144.793731)"
2012,HI,Hawaii,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,986,11.4,10.3,12.5,%,Age-adjusted Prevalence,15,"(21.304850435, -157.857749403)"
2012,HI,Hawaii,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6566,88.6,87.5,89.7,%,Age-adjusted Prevalence,15,"(21.304850435, -157.857749403)"
2012,ID,Idaho,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1173,19.9,18.0,21.8,%,Age-adjusted Prevalence,16,"(43.682630005, -114.363730042)"
2012,ID,Idaho,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4703,80.1,78.2,82.0,%,Age-adjusted Prevalence,16,"(43.682630005, -114.363730042)"
2012,IL,Illinois,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,863,14.9,13.5,16.3,%,Age-adjusted Prevalence,17,"(40.485010283, -88.997710178)"
2012,IL,Illinois,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,4704,85.1,83.7,86.5,%,Age-adjusted Prevalence,17,"(40.485010283, -88.997710178)"
2012,IN,Indiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1705,19.3,18.2,20.5,%,Age-adjusted Prevalence,18,"(39.766910452, -86.149960194)"
2012,IN,Indiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,6880,80.7,79.5,81.8,%,Age-adjusted Prevalence,18,"(39.766910452, -86.149960194)"
2012,IA,Iowa,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1177,17.1,15.9,18.3,%,Age-adjusted Prevalence,19,"(42.469400913, -93.816490556)"
2012,IA,Iowa,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,5971,82.9,81.7,84.1,%,Age-adjusted Prevalence,19,"(42.469400913, -93.816490556)"
2012,KS,Kansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1934,16.5,15.6,17.5,%,Age-adjusted Prevalence,20,"(38.3477403, -98.200781227)"
2012,KS,Kansas,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,9812,83.5,82.5,84.4,%,Age-adjusted Prevalence,20,"(38.3477403, -98.200781227)"
2012,KY,Kentucky,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2615,23.4,22.1,24.7,%,Age-adjusted Prevalence,21,"(37.645970271, -84.774971048)"
2012,KY,Kentucky,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,8561,76.6,75.3,77.9,%,Age-adjusted Prevalence,21,"(37.645970271, -84.774971048)"
2012,LA,Louisiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,1589,17.1,15.8,18.4,%,Age-adjusted Prevalence,22,"(31.312660644, -92.445680071)"
2012,LA,Louisiana,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,7455,82.9,81.6,84.2,%,Age-adjusted Prevalence,22,"(31.312660644, -92.445680071)"
2012,ME,Maine,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,2205,23.1,22.0,24.3,%,Age-adjusted Prevalence,23,"(45.254228894001, -68.985031336)"
2012,ME,Maine,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,7679,76.9,75.7,78.0,%,Age-adjusted Prevalence,23,"(45.254228894001, -68.985031336)"
